,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Castro County,Texas,11%,n/a*,11%,,n/a*,n/a*,n/a*,,7%,n/a*,7%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,65%,,87%,75%,95%,,"$62,588","$84,216","$43,269"
Chambers County,Texas,11%,9%,n/a*,,n/a*,n/a*,n/a*,,14%,20%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,32%,,81%,81%,83%,,"$85,743","$93,264","$64,097"
Cherokee County,Texas,8%,7%,n/a*,,"$12,423",n/a*,n/a*,,26%,16%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,n/a*,,38%,,84%,78%,96%,,"$54,225","$61,826","$36,927"
Childress County,Texas,8%,8%,n/a*,,n/a*,n/a*,n/a*,,13%,13%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,36%,,83%,84%,81%,,"$55,331","$61,952","$31,096"
Clay County,Texas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,9%,,84%,83%,94%,,"$65,771","$66,481","$50,888"
Cochran County,Texas,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,62%,,88%,81%,94%,,"$53,251","$69,518","$36,920"
Coke County,Texas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,40%,40%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,23%,,79%,75%,95%,,"$58,331","$62,676","$37,566"
Coleman County,Texas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,22%,,88%,87%,94%,,"$47,998","$49,941","$37,845"
Collin County,Texas,16%,17%,13%,,"$18,925","$18,357","$20,911",,10%,10%,10%,,"$8,746","$8,935",n/a*,,$184,$180,$189,,2%,2%,1%,,41%,,50%,49%,52%,,"$109,544","$116,904","$95,935"
Collingsworth County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,38%,,85%,80%,96%,,"$51,132","$58,257","$28,991"
Colorado County,Texas,10%,9%,17%,,n/a*,n/a*,n/a*,,19%,15%,31%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,5%,,42%,,82%,76%,92%,,"$66,335","$73,342","$51,505"
Comal County,Texas,16%,14%,n/a**,,"$17,185","$18,675",n/a**,,10%,6%,n/a**,,n/a*,n/a*,n/a**,,$162,$171,n/a**,,2%,1%,n/a**,,31%,,68%,63%,80%,,"$89,050","$96,175","$65,357"
Comanche County,Texas,10%,10%,n/a*,,n/a*,n/a*,n/a*,,13%,13%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,29%,,83%,80%,95%,,"$48,673","$51,627","$37,915"
Concho County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,57%,,88%,78%,96%,,"$64,229","$76,923","$33,740"
Cooke County,Texas,12%,12%,n/a**,,"$9,465","$8,877",n/a**,,13%,12%,n/a**,,n/a*,n/a*,n/a**,,$96,$96,n/a**,,2%,1%,n/a**,,23%,,79%,78%,85%,,"$68,982","$72,683","$49,872"
Coryell County,Texas,18%,12%,n/a*,,"$14,660",n/a*,n/a*,,20%,16%,n/a*,,n/a*,n/a*,n/a*,,$161,n/a*,n/a*,,4%,2%,n/a*,,41%,,87%,85%,88%,,"$61,481","$64,229","$54,437"
Cottle County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,40%,,85%,79%,97%,,"$44,265","$52,127","$29,839"
Crane County,Texas,12%,n/a**,12%,,n/a*,n/a**,n/a*,,29%,n/a**,29%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,3%,n/a**,3%,,64%,,87%,76%,96%,,"$69,510","$78,595","$61,737"
Crockett County,Texas,9%,n/a*,9%,,n/a*,n/a*,n/a*,,40%,n/a*,40%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,n/a*,4%,,63%,,87%,74%,98%,,"$67,386","$83,344","$56,120"
Crosby County,Texas,14%,n/a*,11%,,n/a*,n/a*,n/a*,,7%,n/a*,0%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,0%,,59%,,88%,80%,97%,,"$50,564","$61,403","$38,785"
Culberson County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,81%,,90%,67%,97%,,"$46,626","$51,862","$45,054"
Dallam County,Texas,5%,n/a*,n/a**,,n/a*,n/a*,n/a**,,14%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,n/a*,n/a**,,47%,,89%,86%,92%,,"$56,347","$62,249","$43,908"
Dallas County,Texas,15%,14%,15%,,"$16,828","$24,435","$15,169",,16%,9%,18%,,"$7,266","$10,096","$6,929",,$166,$228,$146,,2%,1%,3%,,70%,,70%,52%,80%,,"$79,087","$111,379","$58,243"
Dawson County,Texas,12%,n/a**,12%,,n/a*,n/a**,n/a*,,24%,n/a**,25%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,3%,n/a**,3%,,62%,,89%,79%,97%,,"$60,502","$76,763","$44,163"
Deaf Smith County,Texas,6%,n/a*,6%,,n/a*,n/a*,n/a*,,11%,n/a*,6%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,0%,,72%,,85%,70%,94%,,"$56,373","$78,544","$44,178"
Delta County,Texas,9%,8%,n/a**,,n/a*,n/a*,n/a**,,43%,50%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,19%,,81%,80%,91%,,"$53,857","$57,696","$28,893"
Denton County,Texas,19%,17%,18%,,"$19,358","$18,471",n/a*,,10%,6%,10%,,"$8,083","$8,358",n/a*,,$178,$179,n/a*,,2%,1%,2%,,39%,,58%,55%,64%,,"$98,841","$109,294","$77,112"
DeWitt County,Texas,8%,7%,n/a**,,n/a*,n/a*,n/a**,,12%,40%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,3%,n/a**,,44%,,85%,80%,94%,,"$78,814","$96,408","$50,598"
Dickens County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,33%,,85%,80%,96%,,"$52,763","$58,733","$29,450"
Dimmit County,Texas,17%,n/a**,17%,,n/a*,n/a**,n/a*,,12%,n/a**,12%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,2%,,86%,,88%,75%,91%,,"$58,986","$82,455","$54,270"
Donley County,Texas,15%,15%,n/a**,,n/a*,n/a*,n/a**,,33%,33%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,18%,,85%,85%,85%,,"$48,570","$51,872","$28,087"
Duval County,Texas,9%,n/a**,9%,,n/a*,n/a**,n/a*,,32%,n/a**,32%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,3%,n/a**,3%,,90%,,92%,88%,92%,,"$56,185","$75,141","$53,402"
Eastland County,Texas,10%,10%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,20%,,86%,84%,96%,,"$55,292","$58,239","$33,063"
Ector County,Texas,9%,11%,8%,,"$14,306",n/a*,"$12,463",,17%,13%,19%,,n/a*,n/a*,n/a*,,$169,n/a*,$132,,1%,1%,1%,,66%,,84%,75%,90%,,"$81,301","$91,557","$74,037"
Edwards County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,51%,,75%,59%,97%,,"$54,388","$67,672","$38,138"
Ellis County,Texas,19%,19%,n/a*,,"$16,216","$17,849",n/a*,,13%,12%,n/a*,,"$9,419",n/a*,n/a*,,$174,$186,n/a*,,2%,2%,n/a*,,37%,,77%,72%,87%,,"$85,012","$90,219","$72,678"
El Paso County,Texas,18%,n/a**,18%,,"$13,016",n/a**,"$13,016",,16%,n/a**,16%,,"$6,951",n/a**,"$6,782",,$125,n/a**,$125,,3%,n/a**,3%,,87%,,77%,58%,80%,,"$56,617","$78,805","$51,996"
Erath County,Texas,17%,18%,n/a**,,"$18,960","$18,960",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,$157,$157,n/a**,,2%,2%,n/a**,,24%,,73%,69%,91%,,"$56,512","$59,060","$45,578"
Falls County,Texas,14%,9%,16%,,n/a*,n/a*,n/a*,,37%,20%,39%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,5%,2%,6%,,48%,,88%,84%,95%,,"$47,782","$57,104","$31,914"
Fannin County,Texas,11%,11%,n/a**,,"$14,200","$14,200",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,20%,,84%,83%,89%,,"$55,509","$58,160","$37,823"
Fayette County,Texas,9%,9%,n/a*,,n/a*,n/a*,n/a*,,9%,11%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,27%,,84%,81%,96%,,"$69,200","$74,040","$48,993"
Fisher County,Texas,11%,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,36%,,84%,80%,93%,,"$60,306","$70,452","$37,611"
Floyd County,Texas,16%,n/a**,17%,,n/a*,n/a**,n/a*,,15%,n/a**,25%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,4%,,60%,,83%,72%,95%,,"$56,333","$72,467","$41,765"
Fort Bend County,Texas,17%,16%,19%,,"$18,822","$18,687","$18,499",,10%,5%,12%,,"$7,134",n/a*,"$7,077",,$187,$168,$182,,2%,1%,2%,,65%,,55%,48%,59%,,"$118,391","$141,180","$102,846"
Franklin County,Texas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,20%,,82%,80%,91%,,"$66,275","$70,229","$43,668"
Freestone County,Texas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,32%,,88%,85%,94%,,"$61,891","$69,430","$40,884"
Frio County,Texas,15%,n/a**,15%,,n/a*,n/a**,n/a*,,8%,n/a**,8%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,1%,,83%,,92%,82%,95%,,"$57,850","$93,292","$47,630"
Gaines County,Texas,8%,9%,n/a*,,n/a*,n/a*,n/a*,,10%,11%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,42%,,88%,84%,94%,,"$74,368","$76,075","$71,823"
Galveston County,Texas,14%,14%,15%,,"$15,439","$17,465","$16,047",,12%,9%,18%,,"$7,876",n/a*,n/a*,,$163,$204,$152,,2%,1%,3%,,42%,,70%,65%,78%,,"$94,988","$108,471","$70,363"
Garza County,Texas,4%,n/a*,5%,,n/a*,n/a*,n/a*,,33%,n/a*,33%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,2%,,61%,,91%,82%,96%,,"$70,872","$86,569","$43,395"
Gillespie County,Texas,12%,12%,n/a**,,"$18,378","$18,378",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,23%,,67%,62%,90%,,"$72,073","$74,426","$59,427"
Glasscock County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,34%,,75%,65%,100%,,"$95,620","$113,505","$51,838"
Goliad County,Texas,9%,n/a*,n/a*,,n/a*,n/a*,n/a*,,10%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,41%,,86%,82%,93%,,"$72,342","$81,337","$56,373"
Gonzales County,Texas,6%,n/a*,2%,,n/a*,n/a*,n/a*,,24%,n/a*,100%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,2%,,57%,,86%,77%,96%,,"$60,419","$73,474","$45,316"
Gray County,Texas,11%,12%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,34%,,86%,83%,95%,,"$57,455","$60,638","$45,719"
Grayson County,Texas,12%,13%,n/a**,,"$16,106","$15,181",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$159,$166,n/a**,,1%,2%,n/a**,,24%,,81%,79%,88%,,"$65,970","$69,150","$49,745"
Gregg County,Texas,12%,14%,12%,,"$15,500","$15,288",n/a*,,18%,18%,16%,,n/a*,n/a*,n/a*,,$154,$168,n/a*,,2%,2%,2%,,41%,,79%,73%,89%,,"$62,556","$73,045","$42,193"
Grimes County,Texas,9%,10%,n/a**,,n/a*,n/a*,n/a**,,21%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,1%,n/a**,,40%,,89%,84%,96%,,"$60,986","$69,127","$44,377"
Guadalupe County,Texas,16%,13%,n/a*,,"$15,450",n/a*,n/a*,,7%,4%,n/a*,,n/a*,n/a*,n/a*,,$156,n/a*,n/a*,,1%,0%,n/a*,,49%,,73%,68%,79%,,"$76,920","$83,149","$68,606"
Hale County,Texas,14%,n/a**,14%,,"$14,567",n/a**,"$14,742",,14%,n/a**,13%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,2%,,65%,,85%,73%,94%,,"$52,566","$65,360","$42,580"
Hall County,Texas,4%,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,42%,,87%,85%,92%,,"$44,427","$47,584","$37,371"
Hamilton County,Texas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,14%,,79%,77%,89%,,"$60,103","$58,010","$85,967"
Hansford County,Texas,7%,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,46%,,81%,73%,92%,,"$61,944","$73,277","$44,879"
Hardeman County,Texas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,30%,,82%,79%,93%,,"$48,017","$52,116","$34,112"
Hardin County,Texas,13%,13%,n/a**,,"$11,910","$11,910",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$131,$131,n/a**,,2%,2%,n/a**,,13%,,85%,84%,89%,,"$69,755","$72,623","$46,511"
Harris County,Texas,15%,14%,14%,,"$16,002","$18,179","$14,523",,15%,8%,18%,,"$6,464","$8,436","$6,243",,$159,$205,$139,,2%,1%,3%,,69%,,70%,53%,80%,,"$83,650","$120,194","$61,056"
Harrison County,Texas,13%,13%,14%,,"$12,095","$13,975","$10,695",,15%,9%,22%,,n/a*,n/a*,n/a*,,$152,$152,n/a*,,2%,1%,3%,,36%,,84%,82%,90%,,"$67,156","$74,789","$49,316"
Hartley County,Texas,13%,n/a*,n/a**,,n/a*,n/a*,n/a**,,13%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,n/a*,n/a**,,36%,,79%,69%,97%,,"$74,829","$81,500","$46,996"
Haskell County,Texas,7%,7%,n/a**,,n/a*,n/a*,n/a**,,50%,50%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,31%,,85%,80%,98%,,"$53,372","$56,746","$37,895"
Hays County,Texas,20%,12%,n/a*,,"$15,331","$16,048",n/a*,,11%,8%,n/a*,,"$8,507",n/a*,n/a*,,$149,$142,n/a*,,2%,1%,n/a*,,43%,,64%,55%,78%,,"$76,425","$82,901","$65,346"
Hemphill County,Texas,2%,2%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,36%,,76%,70%,91%,,"$83,335","$97,235","$45,776"
Henderson County,Texas,11%,11%,n/a**,,"$14,478","$14,478",n/a**,,22%,22%,n/a**,,n/a*,n/a*,n/a**,,$164,$164,n/a**,,2%,2%,n/a**,,21%,,79%,77%,93%,,"$63,467","$66,655","$45,914"
Hidalgo County,Texas,13%,n/a**,13%,,"$10,268",n/a**,"$10,235",,14%,n/a**,14%,,"$6,056",n/a**,"$6,056",,$112,n/a**,$112,,2%,n/a**,2%,,93%,,83%,65%,85%,,"$53,857","$75,970","$51,038"
Hill County,Texas,14%,14%,n/a**,,"$11,114","$14,097",n/a**,,24%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,28%,,85%,83%,94%,,"$55,851","$58,803","$45,181"
Hockley County,Texas,11%,n/a*,n/a*,,n/a*,n/a*,n/a*,,13%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,52%,,84%,77%,93%,,"$63,516","$70,515","$53,984"
Hood County,Texas,11%,11%,n/a**,,"$20,777","$20,777",n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,$182,$182,n/a**,,2%,2%,n/a**,,14%,,74%,73%,85%,,"$74,907","$76,695","$58,345"
Hopkins County,Texas,10%,10%,n/a**,,"$9,705","$9,568",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,26%,,84%,81%,93%,,"$59,079","$63,416","$41,269"
Houston County,Texas,9%,9%,n/a*,,n/a*,n/a*,n/a*,,25%,27%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,3%,n/a*,,38%,,85%,81%,93%,,"$47,040","$57,953","$24,694"
Howard County,Texas,12%,n/a*,n/a**,,"$10,744",n/a*,n/a**,,29%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,n/a*,n/a**,,48%,,87%,83%,93%,,"$65,298","$72,767","$50,085"
Hudspeth County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,81%,,92%,76%,96%,,"$42,613","$63,845","$33,486"
Hunt County,Texas,15%,15%,n/a**,,"$19,723","$19,413",n/a**,,23%,18%,n/a**,,n/a*,n/a*,n/a**,,$167,$171,n/a**,,3%,3%,n/a**,,26%,,81%,80%,88%,,"$58,029","$62,068","$40,918"
Hutchinson County,Texas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,3%,n/a**,,28%,,85%,84%,88%,,"$62,227","$64,737","$51,821"
Irion County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,28%,,85%,84%,90%,,"$79,204","$81,856","$67,894"
Jack County,Texas,3%,3%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,21%,,89%,88%,95%,,"$69,369","$71,910","$48,361"
Jackson County,Texas,6%,9%,n/a*,,n/a*,n/a*,n/a*,,31%,14%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,n/a*,,39%,,83%,77%,93%,,"$69,271","$78,296","$49,113"
Jasper County,Texas,11%,11%,n/a**,,"$13,754",n/a*,n/a**,,25%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,2%,n/a**,,26%,,90%,90%,94%,,"$53,888","$58,870","$35,227"
Jeff Davis County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,41%,,63%,52%,86%,,"$57,797","$60,550","$50,495"
Jefferson County,Texas,13%,12%,13%,,"$14,263","$13,877","$13,928",,19%,14%,23%,,"$6,586",n/a*,"$5,635",,$142,$126,$136,,3%,2%,3%,,58%,,81%,75%,87%,,"$64,680","$79,052","$52,036"
Jim Hogg County,Texas,11%,n/a**,11%,,n/a*,n/a**,n/a*,,50%,n/a**,50%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,5%,n/a**,6%,,93%,,87%,79%,88%,,"$49,612","$52,909","$49,255"
Jim Wells County,Texas,13%,n/a**,13%,,"$15,190",n/a**,"$16,191",,15%,n/a**,14%,,n/a*,n/a**,n/a*,,$167,n/a**,n/a*,,2%,n/a**,2%,,81%,,89%,83%,91%,,"$63,825","$83,923","$58,061"
Johnson County,Texas,14%,14%,24%,,"$14,608","$14,384",n/a*,,14%,13%,18%,,"$4,524",n/a*,n/a*,,$172,$175,n/a*,,2%,2%,4%,,27%,,81%,79%,87%,,"$76,873","$81,974","$57,062"
Jones County,Texas,13%,12%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,44%,,90%,85%,97%,,"$56,559","$59,417","$46,712"
Karnes County,Texas,8%,9%,7%,,n/a*,n/a*,n/a*,,6%,0%,8%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,1%,,61%,,87%,76%,95%,,"$81,136","$111,319","$51,877"
Kaufman County,Texas,15%,15%,n/a**,,"$16,500","$16,337",n/a**,,16%,15%,n/a**,,n/a*,n/a*,n/a**,,$132,$137,n/a**,,2%,2%,n/a**,,33%,,80%,76%,89%,,"$72,534","$78,464","$55,669"
Kendall County,Texas,11%,11%,n/a**,,"$16,107","$16,090",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,25%,,59%,55%,75%,,"$96,180","$100,642","$76,308"
Kenedy County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,66%,,85%,74%,89%,,"$44,546","$52,945","$41,120"
Kent County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,19%,,75%,72%,95%,,"$64,583","$71,684","$29,079"
Kerr County,Texas,11%,11%,n/a**,,"$14,983","$15,789",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$152,$149,n/a**,,2%,2%,n/a**,,29%,,72%,67%,90%,,"$62,268","$64,303","$54,219"
Kimble County,Texas,9%,8%,n/a**,,n/a*,n/a*,n/a**,,14%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,25%,,83%,81%,89%,,"$59,819","$63,991","$41,495"
King County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,25%,,78%,73%,100%,,"$70,313","$72,462","$45,489"
Kinney County,Texas,7%,n/a**,7%,,n/a*,n/a**,n/a*,,0%,n/a**,0%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,0%,n/a**,0%,,63%,,87%,77%,95%,,"$47,574","$48,713","$46,290"
Kleberg County,Texas,17%,n/a*,17%,,"$16,527",n/a*,"$16,211",,16%,n/a*,14%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,2%,,78%,,75%,57%,81%,,"$52,832","$65,861","$48,002"
Knox County,Texas,7%,9%,n/a**,,n/a*,n/a*,n/a**,,17%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,2%,n/a**,,40%,,85%,79%,98%,,"$49,015","$53,990","$38,617"
Lamar County,Texas,10%,11%,n/a**,,"$10,061","$10,061",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,$112,$112,n/a**,,2%,2%,n/a**,,25%,,84%,82%,91%,,"$56,154","$61,006","$39,296"
Lamb County,Texas,11%,n/a*,11%,,n/a*,n/a*,n/a*,,28%,n/a*,29%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,3%,,59%,,84%,74%,93%,,"$55,964","$68,296","$42,017"
Lampasas County,Texas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,15%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,27%,,79%,77%,86%,,"$62,298","$64,036","$55,731"
La Salle County,Texas,11%,n/a*,11%,,n/a*,n/a*,n/a*,,10%,n/a*,10%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,85%,,85%,54%,92%,,"$72,807","$112,195","$59,561"
Lavaca County,Texas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,16%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,2%,n/a**,,25%,,84%,81%,95%,,"$67,402","$72,763","$45,221"
Lee County,Texas,13%,19%,n/a**,,n/a*,n/a*,n/a**,,11%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,36%,,83%,80%,91%,,"$67,174","$72,679","$52,600"
Leon County,Texas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,19%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,23%,,83%,80%,93%,,"$70,142","$75,292","$43,280"
